Flight_Number;city_source;City_dest;Country_source;Country_dest
1338;Guayaquil;San Cristóbal;Ecuador;Ecuador
1338;Guayaquil;Quito;Ecuador;Ecuador
1338;Coca;Quito;Ecuador;Ecuador
1338;San Cristóbal;Guayaquil;Ecuador;Ecuador
1338;Quito;Bogota;Ecuador;Colombia
1338;Quito;Guayaquil;Ecuador;Ecuador
1338;Quito;Coca;Ecuador;Ecuador
2750;Brindisi;Zurich;Italy;Switzerland
2750;Bordeaux;Zurich;France;Switzerland
2750;Bristol;Zurich;United Kingdom;Switzerland
2750;Geneva;Gran Canaria;Switzerland;Spain
2750;Larnaca;Zurich;Cyprus;Switzerland
2750;Gran Canaria;Zurich;Spain;Switzerland
2750;Marsa Alam;Zurich;Egypt;Switzerland
2750;Tenerife;Geneva;Spain;Switzerland
2750;Zurich;Brindisi;Switzerland;Italy
2750;Zurich;Bordeaux;Switzerland;France
2750;Zurich;Bristol;Switzerland;United Kingdom
2750;Zurich;Larnaca;Switzerland;Cyprus
2750;Zurich;Gran Canaria;Switzerland;Spain
2750;Zurich;Marsa Alam;Switzerland;Egypt
3652;Arvidsjaur;Lycksele;Sweden;Sweden
3652;Stockholm;Gallivare;Sweden;Sweden
3652;Stockholm;Halmstad;Sweden;Sweden
3652;Stockholm;Joenkoeping;Sweden;Sweden
3652;Stockholm;Kramfors;Sweden;Sweden
3652;Stockholm;Karlstad;Sweden;Sweden
3652;Stockholm;Lycksele;Sweden;Sweden
3652;Stockholm;Mariehamn;Sweden;Finland
3652;Stockholm;Ornskoldsvik;Sweden;Sweden
3652;Stockholm;Pori;Sweden;Finland
3652;Stockholm;Sandefjord;Sweden;Norway
3652;Stockholm;Visby;Sweden;Sweden
3652;Stockholm;Vilhelmina;Sweden;Sweden
3652;Stockholm;Vaxjo;Sweden;Sweden
3652;Gallivare;Stockholm;Sweden;Sweden
3652;Gallivare;Kramfors;Sweden;Sweden
3652;Halmstad;Stockholm;Sweden;Sweden
3652;Halmstad;Joenkoeping;Sweden;Sweden
3652;Halmstad;Vaxjo;Sweden;Sweden
3652;Hemavan;Vilhelmina;Sweden;Sweden
3652;Joenkoeping;Stockholm;Sweden;Sweden
3652;Joenkoeping;Halmstad;Sweden;Sweden
3652;Kruunupyy;Pori;Finland;Finland
3652;Kramfors;Stockholm;Sweden;Sweden
3652;Kramfors;Gallivare;Sweden;Sweden
3652;Karlstad;Stockholm;Sweden;Sweden
3652;Lycksele;Arvidsjaur;Sweden;Sweden
3652;Lycksele;Stockholm;Sweden;Sweden
3652;Mariehamn;Stockholm;Finland;Sweden
3652;Mariehamn;Turku;Finland;Finland
3652;Ornskoldsvik;Stockholm;Sweden;Sweden
3652;Oslo;Vaxjo;Norway;Sweden
3652;Pori;Stockholm;Finland;Sweden
3652;Pori;Kruunupyy;Finland;Finland
3652;Turku;Mariehamn;Finland;Finland
3652;Sandefjord;Stockholm;Norway;Sweden
3652;Visby;Stockholm;Sweden;Sweden
3652;Vilhelmina;Stockholm;Sweden;Sweden
3652;Vilhelmina;Hemavan;Sweden;Sweden
3652;Vaxjo;Stockholm;Sweden;Sweden
3652;Vaxjo;Oslo;Sweden;Norway
146;Kodiak;;United States;
146;Kodiak;;United States;
146;Kodiak;Larsen Bay;United States;United States
146;Kodiak;;United States;
146;Kodiak;;United States;
146;;;;
146;;;;
146;Larsen Bay;Karluk;United States;United States
146;;;;
146;;;;
897;Basco;Manila;Philippines;Philippines
897;Butuan;Manila;Philippines;Philippines
897;Cotabato;Manila;Philippines;Philippines
897;;Manila;;Philippines
897;Catarman;Manila;Philippines;Philippines
897;Dumaguete;Manila;Philippines;Philippines
897;Dubai;Manila;United Arab Emirates;Philippines
897;Romblon;Manila;Philippines;Philippines
897;Kalibo;Manila;Philippines;Philippines
897;Legazpi;Manila;Philippines;Philippines
897;Manila;Basco;Philippines;Philippines
897;Manila;Butuan;Philippines;Philippines
897;Manila;Cotabato;Philippines;Philippines
897;Manila;;Philippines;
897;Manila;Catarman;Philippines;Philippines
897;Manila;Dumaguete;Philippines;Philippines
897;Manila;Dubai;Philippines;United Arab Emirates
897;Manila;Romblon;Philippines;Philippines
897;Manila;Kalibo;Philippines;Philippines
897;Manila;Legazpi;Philippines;Philippines
897;Manila;Caticlan;Philippines;Philippines
897;Manila;Ozamis;Philippines;Philippines
897;Manila;Puerto Princesa;Philippines;Philippines
897;Manila;Roxas City;Philippines;Philippines
897;Manila;Sangley Point;Philippines;Philippines
897;Manila;Tuguegarao;Philippines;Philippines
897;Manila;Zamboanga;Philippines;Philippines
897;Caticlan;Manila;Philippines;Philippines
897;Ozamis;Manila;Philippines;Philippines
897;Puerto Princesa;Manila;Philippines;Philippines
897;Roxas City;Manila;Philippines;Philippines
897;Sangley Point;Manila;Philippines;Philippines
897;Tuguegarao;Manila;Philippines;Philippines
897;Zamboanga;Manila;Philippines;Philippines
1729;Araguaina;Palmas;Brazil;Brazil
1729;Barreiras;Brasilia;Brazil;Brazil
1729;Barreiras;Salvador;Brazil;Brazil
1729;Brasilia;Barreiras;Brazil;Brazil
1729;Brasilia;Sinop;Brazil;Brazil
1729;Brasilia;Ribeirao Preto;Brazil;Brazil
1729;Cascavel;Sao Paulo;Brazil;Brazil
1729;Cuiaba;Goiania;Brazil;Brazil
1729;Cuiaba;Sinop;Brazil;Brazil
1729;Campo Grande;Dourados;Brazil;Brazil
1729;Dourados;Campo Grande;Brazil;Brazil
1729;Dourados;Sao Paulo;Brazil;Brazil
1729;Rio De Janeiro;Ribeirao Preto;Brazil;Brazil
1729;Sao Paulo;Cascavel;Brazil;Brazil
1729;Sao Paulo;Dourados;Brazil;Brazil
1729;Sao Paulo;Ribeirao Preto;Brazil;Brazil
1729;Sao Paulo;Uberaba;Brazil;Brazil
1729;Sao Paulo;Uberlandia;Brazil;Brazil
1729;Sao Paulo;Vitória Da Conquista;Brazil;Brazil
1729;Goiania;Cuiaba;Brazil;Brazil
1729;Goiania;Palmas;Brazil;Brazil
1729;Goiania;Ribeirao Preto;Brazil;Brazil
1729;Goiania;Uberlandia;Brazil;Brazil
1729;Sinop;Brasilia;Brazil;Brazil
1729;Sinop;Cuiaba;Brazil;Brazil
1729;Belo Horizonte;Ribeirao Preto;Brazil;Brazil
1729;Palmas;Araguaina;Brazil;Brazil
1729;Palmas;Goiania;Brazil;Brazil
1729;Ribeirao Preto;Brasilia;Brazil;Brazil
1729;Ribeirao Preto;Rio De Janeiro;Brazil;Brazil
1729;Ribeirao Preto;Sao Paulo;Brazil;Brazil
1729;Ribeirao Preto;Goiania;Brazil;Brazil
1729;Ribeirao Preto;Belo Horizonte;Brazil;Brazil
1729;Ribeirao Preto;Sao Jose Do Rio Preto;Brazil;Brazil
1729;Ribeirao Preto;Uberlandia;Brazil;Brazil
1729;Sao Jose Do Rio Preto;Ribeirao Preto;Brazil;Brazil
1729;Salvador;Barreiras;Brazil;Brazil
1729;Salvador;Vitória Da Conquista;Brazil;Brazil
1729;Uberaba;Sao Paulo;Brazil;Brazil
1729;Uberaba;Uberlandia;Brazil;Brazil
1729;Uberlandia;Sao Paulo;Brazil;Brazil
1729;Uberlandia;Goiania;Brazil;Brazil
1729;Uberlandia;Ribeirao Preto;Brazil;Brazil
1729;Uberlandia;Uberaba;Brazil;Brazil
1729;Vitória Da Conquista;Sao Paulo;Brazil;Brazil
1729;Vitória Da Conquista;Salvador;Brazil;Brazil
10739;Burlington;Chicago;United States;United States
10739;Burlington;St. Louis;United States;United States
10739;Decatur;Chicago;United States;United States
10739;Decatur;St. Louis;United States;United States
10739;Jonesboro;St. Louis;United States;United States
10739;Chicago;Burlington;United States;United States
10739;Chicago;Decatur;United States;United States
10739;St. Louis;Burlington;United States;United States
10739;St. Louis;Decatur;United States;United States
10739;St. Louis;Jonesboro;United States;United States
16262;;;;
16262;;Ketchikan;;United States
16262;;;;
16262;;;;
16262;;Ketchikan;;United States
16262;;;;
16262;;Ketchikan;;United States
16262;Ketchikan;;United States;
16262;Ketchikan;;United States;
16262;Ketchikan;;United States;
16262;Ketchikan;Metakatla;United States;United States
16262;Metakatla;Ketchikan;United States;United States
595;Accra;Dakar;Ghana;Senegal
595;Accra;Lagos;Ghana;Nigeria
595;Accra;Monrovia;Ghana;Liberia
595;Barcelona;Banjul;Spain;Gambia
595;Banjul;Barcelona;Gambia;Spain
595;Banjul;Dakar;Gambia;Senegal
595;Banjul;Freetown;Gambia;Sierra Leone
595;Conakry;Bissau;Guinea;Guinea-Bissau
595;Dakar;Accra;Senegal;Ghana
595;Dakar;Banjul;Senegal;Gambia
595;Dakar;Douala;Senegal;Cameroon
595;Dakar;Freetown;Senegal;Sierra Leone
595;Dakar;Lagos;Senegal;Nigeria
595;Dakar;Bissau;Senegal;Guinea-Bissau
595;Douala;Dakar;Cameroon;Senegal
595;Douala;Lagos;Cameroon;Nigeria
595;Freetown;Banjul;Sierra Leone;Gambia
595;Freetown;Dakar;Sierra Leone;Senegal
595;Freetown;London;Sierra Leone;United Kingdom
595;Freetown;Monrovia;Sierra Leone;Liberia
595;London;Freetown;United Kingdom;Sierra Leone
595;Lagos;Accra;Nigeria;Ghana
595;Lagos;Dakar;Nigeria;Senegal
595;Lagos;Douala;Nigeria;Cameroon
595;Lagos;Monrovia;Nigeria;Liberia
595;Bissau;Conakry;Guinea-Bissau;Guinea
595;Bissau;Dakar;Guinea-Bissau;Senegal
595;Monrovia;Accra;Liberia;Ghana
595;Monrovia;Freetown;Liberia;Sierra Leone
595;Monrovia;Lagos;Liberia;Nigeria
5521;Djibouti;Dubai;Djibouti;United Arab Emirates
5521;Djibouti;Jeddah;Djibouti;Saudi Arabia
5521;Djibouti;Mogadishu;Djibouti;Somalia
5521;Mogadishu;Nairobi;Somalia;Kenya
5521;Nairobi;Mogadishu;Kenya;Somalia
3021;Bangkok;Singapore;Thailand;Singapore
3021;Darwin;Singapore;Australia;Singapore
3021;Haikou;Singapore;China;Singapore
3021;Hangzhou;Singapore;China;Singapore
3021;Hong Kong;Singapore;Hong Kong;Singapore
3021;Phuket;Singapore;Thailand;Singapore
3021;Osaka;Manila;Japan;Philippines
3021;Osaka;Taipei;Japan;Taiwan
3021;Kuala Lumpur;Singapore;Malaysia;Singapore
3021;Manila;Osaka;Philippines;Japan
3021;Manila;Singapore;Philippines;Singapore
3021;Penang;Singapore;Malaysia;Singapore
3021;Perth;Singapore;Australia;Singapore
3021;Phnom-penh;Singapore;Cambodia;Singapore
3021;Siem-reap;Singapore;Cambodia;Singapore
3021;Yangon;Singapore;Burma;Singapore
3021;Ho Chi Minh City;Singapore;Vietnam;Singapore
3021;Singapore;Bangkok;Singapore;Thailand
3021;Singapore;Darwin;Singapore;Australia
3021;Singapore;Haikou;Singapore;China
3021;Singapore;Hangzhou;Singapore;China
3021;Singapore;Hong Kong;Singapore;Hong Kong
3021;Singapore;Phuket;Singapore;Thailand
3021;Singapore;Kuala Lumpur;Singapore;Malaysia
3021;Singapore;Manila;Singapore;Philippines
3021;Singapore;Penang;Singapore;Malaysia
3021;Singapore;Perth;Singapore;Australia
3021;Singapore;Phnom-penh;Singapore;Cambodia
3021;Singapore;Siem-reap;Singapore;Cambodia
3021;Singapore;Yangon;Singapore;Burma
3021;Singapore;Ho Chi Minh City;Singapore;Vietnam
3021;Singapore;Shantou;Singapore;China
3021;Singapore;Taipei;Singapore;Taiwan
3021;Shantou;Singapore;China;Singapore
3021;Taipei;Osaka;Taiwan;Japan
3021;Taipei;Singapore;Taiwan;Singapore
2916;Altenrhein;Marina Di Campo;Switzerland;Italy
2916;Dresden;Zurich;Germany;Switzerland
2916;Duesseldorf;Friedrichshafen;Germany;Germany
2916;Marina Di Campo;Altenrhein;Italy;Switzerland
2916;Marina Di Campo;Friedrichshafen;Italy;Germany
2916;Marina Di Campo;Munich;Italy;Germany
2916;Marina Di Campo;Zurich;Italy;Switzerland
2916;Friedrichshafen;Duesseldorf;Germany;Germany
2916;Friedrichshafen;Marina Di Campo;Germany;Italy
2916;Friedrichshafen;Hamburg;Germany;Germany
2916;Friedrichshafen;Olbia;Germany;Italy
2916;Friedrichshafen;Berlin;Germany;Germany
2916;Friedrichshafen;Zadar;Germany;Croatia
2916;Memmingen;Naples;Germany;Italy
2916;Graz;Zurich;Austria;Switzerland
2916;Hamburg;Friedrichshafen;Germany;Germany
2916;Munich;Marina Di Campo;Germany;Italy
2916;Naples;Memmingen;Italy;Germany
2916;Olbia;Friedrichshafen;Italy;Germany
2916;Salzburg;Zurich;Austria;Switzerland
2916;Berlin;Friedrichshafen;Germany;Germany
2916;Zadar;Friedrichshafen;Croatia;Germany
2916;Zurich;Dresden;Switzerland;Germany
2916;Zurich;Marina Di Campo;Switzerland;Italy
2916;Zurich;Graz;Switzerland;Austria
2916;Zurich;Salzburg;Switzerland;Austria
20710;Atlanta;Lewisburg;United States;United States
20710;Atlanta;Macon;United States;United States
20710;Atlanta;Meridian;United States;United States
20710;Atlanta;Muscle Shoals;United States;United States
20710;Atlanta;Hattiesburg/Laurel;United States;United States
20710;Atlanta;Tupelo;United States;United States
20710;Alice Town;Fort Lauderdale;Bahamas;United States
20710;North Eleuthera;Fort Lauderdale;Bahamas;United States
20710;North Eleuthera;West Palm Beach;Bahamas;United States
20710;Key West;Fort Lauderdale;United States;United States
20710;Key West;Fort Myers;United States;United States
20710;Key West;Tampa;United States;United States
20710;Fort Lauderdale;Alice Town;United States;Bahamas
20710;Fort Lauderdale;North Eleuthera;United States;Bahamas
20710;Fort Lauderdale;Key West;United States;United States
20710;Fort Lauderdale;Freeport;United States;Bahamas
20710;Fort Lauderdale;Great Exuma;United States;Bahamas
20710;Fort Lauderdale;Governor's Harbor;United States;Bahamas
20710;Fort Lauderdale;Orlando;United States;United States
20710;Fort Lauderdale;Marsh Harbor;United States;Bahamas
20710;Fort Lauderdale;Treasure Cay;United States;Bahamas
20710;Fort Lauderdale;Tampa;United States;United States
20710;Freeport;Fort Lauderdale;Bahamas;United States
20710;Great Exuma;Fort Lauderdale;Bahamas;United States
20710;Great Exuma;Governor's Harbor;Bahamas;Bahamas
20710;Governor's Harbor;Fort Lauderdale;Bahamas;United States
20710;Greenville;Tupelo;United States;United States
20710;Gainesville;Orlando;United States;United States
20710;Gainesville;Tampa;United States;United States
20710;Jacksonville;Marsh Harbor;United States;Bahamas
20710;Jacksonville;Tampa;United States;United States
20710;Lewisburg;Atlanta;United States;United States
20710;Macon;Atlanta;United States;United States
20710;Macon;Orlando;United States;United States
20710;Orlando;Fort Lauderdale;United States;United States
20710;Orlando;Gainesville;United States;United States
20710;Orlando;Macon;United States;United States
20710;Orlando;Marsh Harbor;United States;Bahamas
20710;Orlando;Pensacola;United States;United States
20710;Orlando;Fort Myers;United States;United States
20710;Orlando;Tallahassee;United States;United States
20710;Meridian;Atlanta;United States;United States
20710;Marsh Harbor;Fort Lauderdale;Bahamas;United States
20710;Marsh Harbor;Jacksonville;Bahamas;United States
20710;Marsh Harbor;Orlando;Bahamas;United States
20710;Marsh Harbor;West Palm Beach;Bahamas;United States
20710;Muscle Shoals;Atlanta;United States;United States
20710;West Palm Beach;North Eleuthera;United States;Bahamas
20710;West Palm Beach;Marsh Harbor;United States;Bahamas
20710;West Palm Beach;Tampa;United States;United States
20710;Hattiesburg/Laurel;Atlanta;United States;United States
20710;Pensacola;Orlando;United States;United States
20710;Pensacola;Tampa;United States;United States
20710;Fort Myers;Key West;United States;United States
20710;Fort Myers;Orlando;United States;United States
20710;Treasure Cay;Fort Lauderdale;Bahamas;United States
20710;Tallahassee;Orlando;United States;United States
20710;Tallahassee;Tampa;United States;United States
20710;Tampa;Key West;United States;United States
20710;Tampa;Fort Lauderdale;United States;United States
20710;Tampa;Gainesville;United States;United States
20710;Tampa;Jacksonville;United States;United States
20710;Tampa;West Palm Beach;United States;United States
20710;Tampa;Pensacola;United States;United States
20710;Tampa;Tallahassee;United States;United States
20710;Tupelo;Atlanta;United States;United States
20710;Tupelo;Greenville;United States;United States
9818;Amsterdam;El Aroui;Netherlands;Morocco
9818;Amsterdam;Tanger;Netherlands;Morocco
9818;Barcelona;Casablanca;Spain;Morocco
9818;Barcelona;El Aroui;Spain;Morocco
9818;Barcelona;Tanger;Spain;Morocco
9818;Bergamo;Casablanca;Italy;Morocco
9818;Bologna;Casablanca;Italy;Morocco
9818;Brussels;Casablanca;Belgium;Morocco
9818;Brussels;El Aroui;Belgium;Morocco
9818;Brussels;Tanger;Belgium;Morocco
9818;Cologne;El Aroui;Germany;Morocco
9818;Casablanca;Barcelona;Morocco;Spain
9818;Casablanca;Bergamo;Morocco;Italy
9818;Casablanca;Bologna;Morocco;Italy
9818;Casablanca;Brussels;Morocco;Belgium
9818;Casablanca;Cuneo;Morocco;Italy
9818;Casablanca;London;Morocco;United Kingdom
9818;Casablanca;Lyon;Morocco;France
9818;Casablanca;Montpellier;Morocco;France
9818;Casablanca;Istanbul;Morocco;Turkey
9818;Casablanca;Toulouse;Morocco;France
9818;Casablanca;Treviso;Morocco;Italy
9818;Cuneo;Casablanca;Italy;Morocco
9818;Fes;Montpellier;Morocco;France
9818;London;Casablanca;United Kingdom;Morocco
9818;London;Tanger;United Kingdom;Morocco
9818;Lyon;Casablanca;France;Morocco
9818;Montpellier;Casablanca;France;Morocco
9818;Montpellier;Fes;France;Morocco
9818;Montpellier;El Aroui;France;Morocco
9818;El Aroui;Amsterdam;Morocco;Netherlands
9818;El Aroui;Barcelona;Morocco;Spain
9818;El Aroui;Brussels;Morocco;Belgium
9818;El Aroui;Cologne;Morocco;Germany
9818;El Aroui;Montpellier;Morocco;France
9818;El Aroui;Palma de Mallorca;Morocco;Spain
9818;Palma de Mallorca;El Aroui;Spain;Morocco
9818;Istanbul;Casablanca;Turkey;Morocco
9818;Toulouse;Casablanca;France;Morocco
9818;Tanger;Amsterdam;Morocco;Netherlands
9818;Tanger;Barcelona;Morocco;Spain
9818;Tanger;Brussels;Morocco;Belgium
9818;Tanger;London;Morocco;United Kingdom
9818;Treviso;Casablanca;Italy;Morocco
5002;Oranjestad;Paraguana;Aruba;Venezuela
5002;Oranjestad;Maracaibo;Aruba;Venezuela
5002;Kralendijk;Willemstad;Netherlands Antilles;Netherlands Antilles
5002;Willemstad;Oranjestad;Netherlands Antilles;Aruba
5002;Paraguana;Oranjestad;Venezuela;Aruba
5002;Maracaibo;Oranjestad;Venezuela;Aruba
3545;Astrakhan;Moscow;Russia;Russia
3545;Astrakhan;St. Petersburg;Russia;Russia
3545;Bukhara;Moscow;Uzbekistan;Russia
3545;Moscow;Astrakhan;Russia;Russia
3545;Moscow;Bukhara;Russia;Uzbekistan
3545;Moscow;Belgorod;Russia;Russia
3545;Moscow;Fergana;Russia;Uzbekistan
3545;Moscow;Khanabad;Russia;Uzbekistan
3545;Moscow;Namangan;Russia;Uzbekistan
3545;Moscow;Navoi;Russia;Uzbekistan
3545;Moscow;Samarkand;Russia;Uzbekistan
3545;Moscow;Tivat;Russia;Montenegro
3545;Belgorod;Moscow;Russia;Russia
3545;Fergana;Moscow;Uzbekistan;Russia
3545;Khanabad;Moscow;Uzbekistan;Russia
3545;St. Petersburg;Astrakhan;Russia;Russia
3545;Namangan;Moscow;Uzbekistan;Russia
3545;Navoi;Moscow;Uzbekistan;Russia
3545;Samarkand;Moscow;Uzbekistan;Russia
3545;Tivat;Moscow;Montenegro;Russia
11741;Antigua;Pointe-a-pitre;Antigua and Barbuda;Guadeloupe
11741;Cayenne;Fort-de-france;French Guiana;Martinique
11741;Willemstad;Santo Domingo;Netherlands Antilles;Dominican Republic
11741;Dominica;Pointe-a-pitre;Dominica;Guadeloupe
11741;Dominica;Philipsburg;Dominica;Netherlands Antilles
11741;Fort-de-france;Cayenne;Martinique;French Guiana
11741;Fort-de-france;Pointe-a-pitre;Martinique;Guadeloupe
11741;Fort-de-france;Santo Domingo;Martinique;Dominican Republic
11741;Fort-de-france;Castries;Martinique;Saint Lucia
11741;Pointe-a-pitre;Antigua;Guadeloupe;Antigua and Barbuda
11741;Pointe-a-pitre;Dominica;Guadeloupe;Dominica
11741;Pointe-a-pitre;Fort-de-france;Guadeloupe;Martinique
11741;Pointe-a-pitre;Gustavia;Guadeloupe;France
11741;Pointe-a-pitre;Santo Domingo;Guadeloupe;Dominican Republic
11741;Pointe-a-pitre;St. Martin;Guadeloupe;Guadeloupe
11741;Pointe-a-pitre;Philipsburg;Guadeloupe;Netherlands Antilles
11741;Gustavia;Pointe-a-pitre;France;Guadeloupe
11741;Santo Domingo;Pointe-a-pitre;Dominican Republic;Guadeloupe
11741;Santo Domingo;Philipsburg;Dominican Republic;Netherlands Antilles
11741;St. Martin;Pointe-a-pitre;Guadeloupe;Guadeloupe
11741;Castries;Fort-de-france;Saint Lucia;Martinique
11741;Philipsburg;Dominica;Netherlands Antilles;Dominica
11741;Philipsburg;Pointe-a-pitre;Netherlands Antilles;Guadeloupe
11741;Philipsburg;Santo Domingo;Netherlands Antilles;Dominican Republic
4608;Beihai;Xi'an;China;China
4608;Guangzhou;Chongqing;China;China
4608;Guangzhou;Chengdu;China;China
4608;Guangzhou;Saipan;China;Northern Mariana Islands
4608;Zhengzhou;Changchun;China;China
4608;Zhengzhou;Chongqing;China;China
4608;Zhengzhou;Chengdu;China;China
4608;Zhengzhou;Hangzhou;China;China
4608;Zhengzhou;Harbin;China;China
4608;Zhengzhou;Kunming;China;China
4608;Zhengzhou;Urumqi;China;China
4608;Changchun;Zhengzhou;China;China
4608;Changchun;Nanjing;China;China
4608;Changchun;Jinan;China;China
4608;Changchun;Tianjin;China;China
4608;Chongqing;Guangzhou;China;China
4608;Chongqing;Zhengzhou;China;China
4608;Chongqing;Changcha;China;China
4608;Chongqing;Chengdu;China;China
4608;Chongqing;Changzhou;China;China
4608;Chongqing;Dalian;China;China
4608;Chongqing;Dayong;China;China
4608;Chongqing;Haikou;China;China
4608;Chongqing;Hangzhou;China;China
4608;Chongqing;Phuket;China;Thailand
4608;Chongqing;;China;
4608;Chongqing;Nanchang;China;China
4608;Chongqing;Kunming;China;China
4608;Chongqing;Lanzhou;China;China
4608;Chongqing;Lijiang;China;China
4608;Chongqing;Lhasa;China;China
4608;Chongqing;Ninbo;China;China
4608;Chongqing;Nanjing;China;China
4608;Chongqing;Nanning;China;China
4608;Chongqing;Beijing;China;China
4608;Chongqing;Shanghai;China;China
4608;Chongqing;Panzhihua;China;China
4608;Chongqing;Shantou;China;China
4608;Chongqing;Sydney;China;Australia
